source,target,value
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.5abs', '0.32816281212175114']",0.47228523065740263
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.5abs', '0.3463626014120448']",0.6919894659011776
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.5abs', '0.3272864517146735']",0.9087147990660658
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.5abs', '0.34660346702722045']",0.7297605444552715
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.5abs', '0.0002780441912417775']",0.3283374228056797
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.5abs', '0.0039175088281971915']",0.03780036660917209
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.5abs', '0.002174983013353615']",0.5167418398891251
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.5abs', '0.3283727160032395']",0.9077102148834472
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.5abs', '0.31193593602682934']",0.7738671920151848
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.5abs', '0.34643650188151387']",0.4081852341602947
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.5abs', '0.32789220362531923']",0.898088485185621
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.5abs', '0.3481814815244336']",0.40834785621720976
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.5abs', '0.027769675330101218']",-0.040465947861727615
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.5abs', '0.009684259543524365']",0.16284458436467886
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.5abs', '1.8443948325730375e-05']",-0.009363589420411423
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthweighted0.3abs', '0.33096198938800925']",0.9820413007150907
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.3abs', '0.3356092081791623']",0.4726030983870724
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.3abs', '0.36978688332066956']",0.44113576038300595
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.3abs', '0.34127698468969925']",0.8707955619204666
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.3abs', '0.37038582420298305']",0.5275174175802335
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.3abs', '0.00027141903098870657']",0.32771599254182665
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.3abs', '0.003334328282724841']",0.022581212450968505
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.3abs', '0.003181381551461304']",0.6285816717102677
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.3abs', '0.32573549286805314']",0.9217913808014695
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralitybinarize0.3abs', '0.31515508685748217']",0.7066520546133286
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringbinarize0.3abs', '0.3700413145144562']",0.26605567294828436
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralitybinarize0.3abs', '0.33243021288223584']",0.8830963533982134
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencybinarize0.3abs', '0.3676903487702534']",0.2879297845416686
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencybinarize0.3abs', '0.00021250483781709573']",-0.18510024742919826
"['strengthweighted0.5abs', '0.3227356606213898']","['modularitybinarize0.3abs', '0.008919574479413384']",0.11007268391844308
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientbinarize0.3abs', '0.0']",0.0051899433678073426
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthweighted0.1abs', '0.32899066086489637']",0.8712910419823117
"['strengthweighted0.5abs', '0.3227356606213898']","['betweennness centralityweighted0.1abs', '0.2936327078677571']",0.43742240442953284
"['strengthweighted0.5abs', '0.3227356606213898']","['clusteringweighted0.1abs', '0.3020141480683215']",0.12366297928576277
"['strengthweighted0.5abs', '0.3227356606213898']","['eigenvector centralityweighted0.1abs', '0.35649105247581825']",0.7107760682838725
"['strengthweighted0.5abs', '0.3227356606213898']","['local efficiencyweighted0.1abs', '0.3361079700108116']",0.2881100544477202
"['strengthweighted0.5abs', '0.3227356606213898']","['global efficiencyweighted0.1abs', '2.263848017269865e-06']",0.2975888102694273
"['strengthweighted0.5abs', '0.3227356606213898']","['modularityweighted0.1abs', '0.00013117972772258568']",-0.04224940364883534
"['strengthweighted0.5abs', '0.3227356606213898']","['participation coefficientweighted0.1abs', '0.004515930131528956']",0.6150561511870422
"['strengthweighted0.5abs', '0.3227356606213898']","['strengthbinarize0.1abs', '0.32966580144891744']",0.8359394870096106
